DATE,DDOE01ARA086NWDB
2000-01-01,38.2148
2000-02-01,38.16565
2000-03-01,38.116499999999995
2000-04-01,38.06735
2000-05-01,38.0182
2000-06-01,37.969049999999996
2000-07-01,37.9199
2000-08-01,37.87075
2000-09-01,37.8216
2000-10-01,37.77245
2000-11-01,37.7233
2000-12-01,37.67415
2001-01-01,37.625
2001-02-01,38.90904166666667
2001-03-01,40.193083333333334
2001-04-01,41.477125
2001-05-01,42.76116666666667
2001-06-01,44.045208333333335
2001-07-01,45.32925
2001-08-01,46.61329166666666
2001-09-01,47.89733333333333
2001-10-01,49.181374999999996
2001-11-01,50.46541666666666
2001-12-01,51.74945833333333
2002-01-01,53.0335
2002-02-01,53.19509166666666
2002-03-01,53.35668333333333
2002-04-01,53.518274999999996
2002-05-01,53.67986666666666
2002-06-01,53.84145833333333
2002-07-01,54.00305
2002-08-01,54.16464166666667
2002-09-01,54.326233333333334
2002-10-01,54.487825
2002-11-01,54.64941666666667
2002-12-01,54.811008333333334
2003-01-01,54.9726
2003-02-01,55.252091666666665
2003-03-01,55.53158333333333
2003-04-01,55.811075
2003-05-01,56.09056666666667
2003-06-01,56.37005833333333
2003-07-01,56.649550000000005
2003-08-01,56.92904166666667
2003-09-01,57.208533333333335
2003-10-01,57.488025
2003-11-01,57.767516666666666
2003-12-01,58.04700833333334
2004-01-01,58.3265
2004-02-01,58.92563333333334
2004-03-01,59.524766666666665
2004-04-01,60.1239
2004-05-01,60.72303333333333
2004-06-01,61.32216666666667
2004-07-01,61.9213
2004-08-01,62.52043333333333
2004-09-01,63.119566666666664
2004-10-01,63.7187
2004-11-01,64.31783333333333
2004-12-01,64.91696666666667
2005-01-01,65.5161
2005-02-01,66.05323333333332
2005-03-01,66.59036666666665
2005-04-01,67.1275
2005-05-01,67.66463333333333
2005-06-01,68.20176666666666
2005-07-01,68.7389
2005-08-01,69.27603333333333
2005-09-01,69.81316666666666
2005-10-01,70.35029999999999
2005-11-01,70.88743333333332
2005-12-01,71.42456666666666
2006-01-01,71.9617
2006-02-01,72.46999166666666
2006-03-01,72.97828333333332
2006-04-01,73.48657499999999
2006-05-01,73.99486666666667
2006-06-01,74.50315833333333
2006-07-01,75.01145
2006-08-01,75.51974166666666
2006-09-01,76.02803333333333
2006-10-01,76.536325
2006-11-01,77.04461666666667
2006-12-01,77.55290833333333
2007-01-01,78.0612
2007-02-01,78.53205
2007-03-01,79.0029
2007-04-01,79.47375
2007-05-01,79.9446
2007-06-01,80.41544999999999
2007-07-01,80.88629999999999
2007-08-01,81.35714999999999
2007-09-01,81.82799999999999
2007-10-01,82.29884999999999
2007-11-01,82.76969999999999
2007-12-01,83.24054999999998
2008-01-01,83.71139999999998
2008-02-01,84.24883333333332
2008-03-01,84.78626666666665
2008-04-01,85.32369999999999
2008-05-01,85.86113333333333
2008-06-01,86.39856666666665
2008-07-01,86.93599999999999
2008-08-01,87.47343333333333
2008-09-01,88.01086666666666
2008-10-01,88.5483
2008-11-01,89.08573333333334
2008-12-01,89.62316666666666
2009-01-01,90.1606
2009-02-01,90.98055000000001
2009-03-01,91.8005
2009-04-01,92.62045
2009-05-01,93.4404
2009-06-01,94.26035
2009-07-01,95.0803
2009-08-01,95.90025
2009-09-01,96.7202
2009-10-01,97.54015
2009-11-01,98.3601
2009-12-01,99.18005
2010-01-01,100.0
2010-02-01,100.79441666666666
2010-03-01,101.58883333333333
2010-04-01,102.38325
2010-05-01,103.17766666666667
2010-06-01,103.97208333333333
2010-07-01,104.76650000000001
2010-08-01,105.56091666666667
2010-09-01,106.35533333333333
2010-10-01,107.14975
2010-11-01,107.94416666666666
2010-12-01,108.73858333333334
2011-01-01,109.533
2011-02-01,110.52175
2011-03-01,111.51050000000001
2011-04-01,112.49925
2011-05-01,113.488
2011-06-01,114.47675
2011-07-01,115.46549999999999
2011-08-01,116.45425
2011-09-01,117.443
2011-10-01,118.43175
2011-11-01,119.4205
2011-12-01,120.40925
2012-01-01,121.398
2012-02-01,122.50383333333333
2012-03-01,123.60966666666667
2012-04-01,124.71549999999999
2012-05-01,125.82133333333333
2012-06-01,126.92716666666666
2012-07-01,128.03300000000002
2012-08-01,129.13883333333334
2012-09-01,130.24466666666666
2012-10-01,131.3505
2012-11-01,132.45633333333333
2012-12-01,133.56216666666668
2013-01-01,134.668
2013-02-01,132.894
2013-03-01,131.12
2013-04-01,129.346
2013-05-01,127.572
2013-06-01,125.798
2013-07-01,124.024
2013-08-01,122.25
2013-09-01,120.476
2013-10-01,118.702
2013-11-01,116.928
2013-12-01,115.154
2014-01-01,113.38
